TJ_Tag,ID,Device_1,Trip_1,Device_2,Trip_2,StartTime_1,EndTime_1,StartTime_2,EndTime_2
2064,3833259,10137,4345,10132,3122,90970,91070,22860,22960
2065,3833338,10137,4346,10118,757,30690,31190,60020,60520
2066,3833349,10137,4346,10121,85,8290,10290,86730,88730
2067,3833357,10137,4346,10121,245,14990,15590,86330,86930
2068,3834673,10137,4354,10122,1403,59970,62970,32610,35610
2069,3834709,10137,4354,10129,457,3200,4500,20440,21740
2070,3834717,10137,4354,10129,2747,2500,9200,23970,30670
2071,3834752,10137,4354,10129,4166,68700,69200,90460,90960
2072,3835186,10137,4356,502,786,81280,81680,92330,92730
2073,3835951,10137,4362,10134,1151,28070,30070,13400,15400
2074,3835951,10137,4362,10134,1151,39970,49770,25300,35100
2075,3837359,10137,4369,10122,355,3000,3500,26780,27280
2076,3839685,10137,4385,10106,2263,49840,50740,8900,9800
2077,3840038,10137,4389,10106,117,42300,42500,48830,49030
2078,3841185,10137,4398,10135,1010,31800,32200,14700,15100
2079,3841417,10137,4400,10122,493,86310,90110,44190,47990
2080,3841422,10137,4400,10122,646,74230,75930,21410,23110
2081,3841422,10137,4400,10122,646,76530,78630,23710,25810
2082,3841422,10137,4400,10122,646,86130,87930,33310,35110
2083,3841468,10137,4400,10129,23,87490,89890,98270,100670
2084,3841566,10137,4400,10136,1398,59070,59770,11810,12510
2085,3841566,10137,4400,10136,1398,72070,75370,24810,28110
2086,3841818,10137,4403,10132,1675,27590,28090,35000,35500
2087,3841840,10137,4403,10135,900,37490,38190,74400,75100
2088,3842017,10137,4406,10129,1916,13690,15490,100610,102410
2089,3842038,10137,4406,10129,2776,14290,15890,32650,34250
2090,3842618,10137,4411,10130,1083,44290,46490,92660,94860
2091,3842897,10137,4414,552,529,16690,17790,171880,172980
2092,3842932,10137,4414,10125,1935,33790,33890,69040,69140
2093,3843042,10137,4415,10133,1686,90840,92540,3040,4740
2094,3843042,10137,4415,10133,1686,93840,93940,6040,6140
2095,3844644,10137,4428,10122,1092,77010,80110,10220,13320
2096,3844644,10137,4428,10122,1092,80410,81110,13620,14320
2097,3844644,10137,4428,10122,1092,83110,85710,16320,18920
2098,3844644,10137,4428,10122,1092,94310,98110,27520,31320
2099,3844656,10137,4428,10125,1211,45130,46630,8100,9600
2100,3845449,10137,4430,10134,835,145800,146700,21030,21930
2101,3847870,10137,4445,10136,442,72280,72880,44710,45310
2102,3849708,10137,4461,10136,3600,112710,113210,243830,244330
2103,3850197,10137,4468,10129,3882,190,290,56160,56260
2104,3851329,10137,4478,10129,283,72870,88170,43540,58840
2105,3852147,10137,4482,10115,14,25370,26670,5010,6310
2106,3852598,10137,4485,10130,721,43530,43930,23400,23800
2107,3852598,10137,4485,10130,721,46230,47130,26100,27000
2108,3853748,10137,4495,551,744,16090,23090,250200,257200
2109,3853748,10137,4495,551,744,30290,35290,264400,269400
2110,3853842,10137,4495,10129,2125,78490,79290,102920,103720
2111,3854046,10137,4497,10129,1682,17800,18700,41120,42020
2112,3854082,10137,4497,10133,511,11100,12300,17710,18910
2113,3854082,10137,4497,10133,511,16600,17500,23210,24110
2114,3854555,10137,4500,501,562,59380,66980,4210,11810
2115,3854555,10137,4500,501,562,69180,70280,14010,15110
2116,3855174,10137,4507,10116,506,33000,33500,67260,67760
2117,3855256,10137,4507,10129,2663,98700,99500,29020,29820
2118,3857546,10137,4530,10130,901,238740,238940,43210,43410
2119,3857974,10137,4533,10135,1744,39800,42000,4820,7020
2120,3858822,10137,4538,10132,511,37790,38290,47230,47730
2121,3858825,10137,4538,10132,3426,40410,40910,21700,22200
2122,3859124,10137,4541,10115,647,62200,69600,51490,58890
2123,3859174,10137,4542,551,744,70470,72870,293700,296100
2124,3859258,10137,4542,10129,2125,82970,88870,96410,102310
2125,3859310,10137,4542,10132,3794,69390,72890,6990,10490
2126,3860077,10137,4547,10106,3593,20600,23600,34670,37670
2127,3863094,10137,4574,10125,1211,53170,54570,38500,39900
2128,3863732,10137,4579,502,979,28990,33090,73770,77870
2129,3863732,10137,4579,502,979,34590,35490,79370,80270
2130,3863807,10137,4579,10125,974,7790,15090,104260,111560
2131,3863813,10137,4579,10129,2450,33390,34190,40980,41780
2132,3863877,10137,4579,10134,932,15790,17190,4730,6130
2133,3864862,10137,4585,552,393,29680,32480,10790,13590
2134,3864929,10137,4585,10122,376,76060,84760,7020,15720
2135,3864932,10137,4585,10122,496,75020,86620,6810,18410
2136,3864936,10137,4585,10122,866,71580,74280,10210,12910
2137,3865008,10137,4585,10132,4281,62490,63290,40190,40990
2138,3865030,10137,4585,10134,988,44020,45120,18910,20010
2139,3865030,10137,4585,10134,988,77620,78920,52510,53810
2140,3865805,10137,4588,10116,894,8490,8890,67460,67860
2141,3868353,10137,4618,10129,1968,26330,26830,8220,8720
2142,3869722,10137,4632,502,693,43890,46990,20410,23510
2143,3870297,10137,4635,10129,55,118900,120800,72430,74330
2144,3881111,10137,4664,502,951,74390,75890,177670,179170
2145,3881195,10137,4664,10125,20,27780,33080,5810,11110
2146,3883013,10137,4674,10129,150,35610,36110,44550,45050
2147,3883033,10137,4674,10132,3824,45010,45510,104330,104830
2148,3883474,10137,4679,10129,1001,36970,37370,53060,53460
2149,3883485,10137,4679,10130,89,52120,55020,14300,17200
2150,3884479,10137,4687,10107,77,103900,104600,11310,12010
2151,3884742,10137,4688,10131,1600,17590,17890,58440,58740
2152,3884742,10137,4688,10131,1600,22790,23590,63640,64440
2153,3885614,10137,4695,10125,3349,28490,28590,140290,140390
2154,3886374,10137,4702,10129,1549,200,900,56840,57540
2155,3886378,10137,4702,10129,444,17000,17200,52730,52930
2156,3887934,10137,4713,10122,407,61750,62150,3110,3510
2157,3887944,10137,4713,10122,895,60410,65110,6500,11200
2158,3888125,10137,4714,10122,990,1590,3390,21500,23300
2159,3888125,10137,4714,10122,990,5590,7390,25500,27300
2160,3888130,10137,4714,10122,407,4590,7390,32540,35340
2161,3889143,10137,4719,10106,4596,48290,48490,121070,121270
2162,3891608,10137,4743,552,892,109550,111350,28880,30680
2163,3891917,10137,4743,10136,693,165130,168230,49330,52430
2164,3892850,10137,4750,10107,68,101770,101970,34800,35000
2165,3892851,10137,4750,10107,1,106320,107820,36030,37530
2166,3893627,10137,4753,10132,1929,48490,49290,240510,241310
2167,3893653,10137,4753,10132,3824,31590,34390,48890,51690
2168,3894028,10137,4756,10134,1085,23790,25190,6830,8230
2169,3894028,10137,4756,10134,1085,49990,51590,33030,34630
2170,3894028,10137,4756,10134,1085,54190,59190,37230,42230
2171,3894054,10137,4756,10136,2747,50470,52170,32980,34680
2172,3894802,10137,4761,10135,1552,54290,55390,61720,62820
2173,3894809,10137,4761,10136,348,56450,57050,7620,8220
2174,3895343,10137,4767,10129,1918,33410,33710,64090,64390
2175,3897085,10137,4781,10132,290,51700,51800,58880,58980
2176,3897097,10137,4781,10132,134,52200,53400,47840,49040
2177,3897591,10137,4785,10106,1086,5100,10400,50540,55840
2178,3897591,10137,4785,10106,1086,20700,23000,66140,68440
2179,3897591,10137,4785,10106,1086,26100,27100,71540,72540
2180,3897728,10137,4786,10132,2898,54000,55000,81960,82960
2181,3898161,10137,4790,10129,1859,75080,76180,52000,53100
2182,3898161,10137,4790,10129,1859,80580,87880,57500,64800
2183,3898264,10137,4790,10135,1744,33000,36200,14520,17720
2184,3898264,10137,4790,10135,1744,40300,43900,21820,25420
2185,3899316,10137,4797,10122,732,135060,137160,40410,42510
2186,3900532,10137,4806,552,393,280,6080,17550,23350
2187,3900654,10137,4806,10130,89,72810,73910,19300,20400
2188,3903911,10137,4824,10130,14,46640,47640,19620,20620
2189,3903911,10137,4824,10130,14,55340,56440,28320,29420
2190,3905328,10137,4840,10122,71,61020,68220,5980,13180
2191,3905367,10137,4840,10125,3467,20300,21100,86460,87260
2192,3905984,10137,4844,10125,1195,36600,38100,105040,106540
2193,3906048,10137,4845,551,410,24390,25890,63940,65440
2194,3906106,10137,4845,10132,2919,9890,10590,75730,76430
2195,3906646,10137,4849,10130,1122,108400,108600,209690,209890
2196,3906650,10137,4849,10130,209,69400,69500,75670,75770
2197,3906650,10137,4849,10130,209,81400,82700,87670,88970
2198,3906650,10137,4849,10130,209,86800,94900,93070,101170
2199,3907865,10137,4857,10122,968,54250,55750,17310,18810
2200,3907928,10137,4857,10134,1260,24820,26420,21510,23110
2201,3907928,10137,4857,10134,1260,60620,60720,57310,57410
2202,3909801,10137,4868,10122,1144,154620,157020,85710,88110
2203,3911032,10137,4877,10116,1067,11800,12400,40500,41100
2204,3911205,10137,4880,10118,1959,30290,32390,46750,48850
2205,3912276,10137,4890,10106,323,26170,28170,45650,47650
2206,3912276,10137,4890,10106,323,35170,36070,54650,55550
2207,3912276,10137,4890,10106,323,46370,47770,65850,67250
2208,3912276,10137,4890,10106,323,51370,52670,70850,72150
2209,3912276,10137,4890,10106,323,62470,62970,81950,82450
2210,3912278,10137,4890,10115,498,41390,43190,59090,60890
2211,3912278,10137,4890,10115,498,48090,53990,65790,71690
2212,3912278,10137,4890,10115,498,57790,59890,75490,77590
2213,3912278,10137,4890,10115,498,61390,67290,79090,84990
2214,3912278,10137,4890,10115,498,96090,98490,113790,116190
2215,3912793,10137,4894,10133,1703,16290,16890,35530,36130
2216,3915812,10137,4920,552,986,16400,16700,4630,4930
2217,3915812,10137,4920,552,986,25200,30500,13430,18730
2218,3916658,10137,4925,10133,60,62690,63190,210700,211200
2219,3916796,10137,4926,10132,2320,83290,83490,94110,94310
2220,3917845,10137,4933,552,666,28690,31890,110500,113700
2221,3919767,10137,4950,10125,986,19690,30090,49670,60070
2222,3919767,10137,4950,10125,986,32890,35890,62870,65870
2223,3920463,10137,4956,10136,3682,8890,9890,93470,94470
2224,3920775,10137,4958,551,315,52890,54990,104400,106500
2225,3920942,10137,4959,10132,32,60200,61700,79460,80960
2226,3920968,10137,4959,10132,3376,57400,57600,72340,72540
2227,3920983,10137,4959,10132,3425,57400,57700,60080,60380
2228,3920986,10137,4959,10132,3790,60300,61700,71390,72790
2229,3923342,10137,4986,10133,29,55320,56720,30210,31610
2230,3923342,10137,4986,10133,29,57820,58820,32710,33710
2231,3924602,10137,4997,10122,331,13590,19690,53930,60030
2232,3924602,10137,4997,10122,331,23790,25790,64130,66130
2233,3924602,10137,4997,10122,331,44390,45190,84730,85530
2234,3924622,10137,4997,10129,995,31890,32890,58710,59710
2235,3925162,10137,5004,10106,1434,16690,18690,68650,70650
2236,3925162,10137,5004,10106,1434,20690,26090,72650,78050
2237,3926608,10137,5011,10135,1501,105800,112300,24520,31020
2238,3926608,10137,5011,10135,1501,118000,118400,36720,37120
2239,3926608,10137,5011,10135,1501,123300,124900,42020,43620
2240,3927170,10137,5016,10134,1294,57690,58690,15110,16110
2241,3928502,10137,5023,10106,1077,13590,14690,21410,22510
2242,3930630,10137,5040,10135,434,74350,79850,6810,12310
2243,3931133,10137,5045,10134,1361,41280,42380,34010,35110
2244,3933130,10137,5057,10135,1367,102320,103620,57700,59000
2245,3934623,10137,5067,502,112,90510,93810,77510,80810
2246,3934887,10137,5068,10129,2023,16290,16690,89700,90100
2247,3935291,10137,5071,10134,1361,41440,42540,20510,21610
2248,3935291,10137,5071,10134,1361,54540,59740,33610,38810
2249,3935310,10137,5071,10135,1629,67620,68620,44910,45910
2250,3936107,10137,5077,552,642,34380,35680,65720,67020
2251,3936282,10137,5077,10132,796,14680,18780,64710,68810
2252,3936311,10137,5077,10133,1819,86250,87550,57980,59280
2253,3937759,10137,5091,10122,463,153070,161270,18500,26700
2254,3937836,10137,5091,10130,731,85290,87290,33910,35910
2255,3937908,10137,5091,10134,1283,123690,124490,28310,29110
2256,3938099,10137,5092,10136,3600,99990,100390,237550,237950
2257,3939767,10137,5107,10132,1956,21190,21690,26470,26970
2258,3939772,10137,5107,10132,6843,990,2190,21210,22410
2259,3939772,10137,5107,10132,6843,19190,25790,39410,46010
2260,3939780,10137,5107,10132,3626,20590,23190,24420,27020
2261,3939780,10137,5107,10132,3626,23590,26390,27420,30220
2262,3939798,10137,5107,10132,7069,2690,3390,24000,24700
2263,3939798,10137,5107,10132,7069,6890,7890,28200,29200
2264,3939843,10137,5107,10136,3517,890,1290,62200,62600
2265,3939848,10137,5107,10136,3025,25190,26490,28390,29690
2266,3940926,10137,5115,10125,1322,13590,14690,61600,62700
2267,3940957,10137,5115,10129,1864,5390,6490,58150,59250
2268,3940957,10137,5115,10129,1864,13990,18590,66750,71350
2269,3941252,10137,5118,10132,3054,32320,33020,58180,58880
2270,3941271,10137,5118,10134,540,3720,16820,23380,36480
2271,3941271,10137,5118,10134,540,26020,30820,45680,50480
2272,3941271,10137,5118,10134,540,33820,38220,53480,57880
2273,3941839,10137,5120,10135,1632,87890,88490,16610,17210
2274,3942735,10137,5129,10129,2574,39600,41000,73540,74940
2275,3943180,10137,5133,3268,41,123290,123490,328360,328560
2276,3943857,10137,5136,10132,1894,85490,90490,115050,120050
2277,3944993,10137,5143,10135,1656,118190,119490,155300,156600
2278,3947419,10137,5162,10134,1294,25940,27540,6410,8010
2279,3947419,10137,5162,10134,1294,33640,35040,14110,15510
2280,3947419,10137,5162,10134,1294,35840,42340,16310,22810
2281,3948442,10137,5166,10129,32,147400,148300,39650,40550
2282,3949212,10137,5173,10118,7,139030,139330,13010,13310
2283,3949411,10137,5173,10132,3452,44230,45530,25980,27280
2284,3949902,10137,5175,10125,2481,55430,55830,36510,36910
2285,3950620,10137,5183,10118,816,1500,2200,25790,26490
2286,3952046,10137,5193,10136,429,36290,40690,623230,627630
2287,3952054,10137,5193,10136,2767,33690,34790,261450,262550
2288,3952870,10137,5199,10125,1314,39590,40890,3410,4710
2289,3955332,10137,5213,10129,913,1190,4290,70260,73360
2290,3956640,10137,5224,10106,1299,23890,24990,7120,8220
2291,3956750,10137,5225,10122,206,40570,41470,142580,143480
2292,3956751,10137,5225,10122,1071,45470,49570,96880,100980
2293,3956808,10137,5225,10135,421,54490,55090,63370,63970
2294,3957103,10137,5228,10122,946,135560,137960,33800,36200
2295,3957643,10137,5232,552,569,10600,11500,32180,33080
2296,3961571,10137,5256,10135,1629,44670,45170,50650,51150
2297,3964504,10137,5269,10135,1691,700,8900,27060,35260
2298,3967058,10137,5296,10121,1172,35390,35990,220970,221570
2299,3967234,10137,5296,10134,685,86140,86340,29120,29320
2300,3967243,10137,5296,10134,361,86720,86920,38210,38410
2301,3968031,10137,5300,10129,4781,26080,29380,52720,56020
2302,3968461,10137,5304,10129,1145,65490,68690,94130,97330
2303,3968461,10137,5304,10129,1145,69190,69690,97830,98330
2304,3976985,10137,5383,10134,540,34500,42300,21610,29410
2305,3978418,10137,5392,10106,3914,59090,59390,74700,75000
2306,3978478,10137,5392,10122,433,124570,127170,28320,30920
2307,3978483,10137,5392,10122,809,123730,124830,44300,45400
2308,3978487,10137,5392,10122,669,124320,127220,35000,37900
2309,3978620,10137,5392,10133,221,45290,45790,43670,44170
2310,3979597,10137,5399,501,721,65100,65600,76360,76860
2311,3979627,10137,5399,10115,348,92170,94870,19500,22200
2312,3979627,10137,5399,10115,348,100970,105370,28300,32700
2313,3979661,10137,5399,10122,767,94340,95340,40000,41000
2314,3979816,10137,5399,10135,1235,61640,63340,28530,30230
2315,3979816,10137,5399,10135,1235,68440,69140,35330,36030
2316,3980661,10137,5405,10132,4013,63330,64030,21990,22690
2317,3980945,10137,5408,10125,550,71800,73100,21710,23010
2318,3981063,10137,5408,10134,488,71880,78280,20320,26720
2319,3981063,10137,5408,10134,488,90180,90280,38620,38720
2320,3984749,10137,5435,10129,2776,3990,5490,17110,18610
2321,3984799,10137,5435,10134,903,9190,10290,51890,52990
2322,3985662,10137,5439,10131,960,8480,8980,159240,159740
2323,3986649,10137,5448,10133,616,73880,74180,52920,53220
2324,3987402,10137,5457,10116,663,84420,84720,16920,17220
2325,3988707,10137,5461,10129,4847,6290,16890,32600,43200
